index,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
20,6881,BOL,South America,Bolivia,2021-01-15,183589.0,2573.0,1776.4289999999999,9571.0,41.0,34.714,15727.623,220.423,152.18200000000002,819.924,3.512,2.9739999999999998,1.51,371.0,32.010999999999996,1955.0,168.685,2838.847,244.947,909.5239999999999,78.477,470826.0,6157.0,40.335,0.527,4250.0,0.364,0.418,2.4,tests performed,141758.0,15430.0,11419.0,1.22,985.0,30.56,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,0.6,12.3,25.383000000000003,1.1,71.51,0.693
21,46731,VCT,North America,Saint Vincent and the Grenadines,2021-01-15,450.0,110.0,43.0,1.0,1.0,0.14300000000000002,4055.991,991.4639999999999,387.57199999999995,9.013,9.013,1.288,0.57,1065.0,55.36,3770.0,369.727,19.332,3.5660000000000003,5310.204000000001,276.031,804337.0,5538.0,62.1,0.428,4723.0,0.365,0.053,18.9,samples tested,1000000.0,39712.0,18182.0,0.69,125.0,35.19,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,56.0,252.675,11.62,4.7,21.0,87.20200000000001,2.6,72.53,0.723
22,10133,CAN,North America,Canada,2021-01-15,700538.0,6880.0,7372.571,17743.0,184.0,144.0,18561.154,182.29,195.34,470.111,4.875,3.815,1.14,899.0,23.82,4848.0,128.451,2838.847,244.947,909.5239999999999,78.477,16396862.0,133343.0,434.444,3.533,117465.0,3.112,0.063,15.9,people tested,507687.0,48195.0,35208.0,1.35,933.0,75.46,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,2.735,2.5,82.43,0.9259999999999999
23,29482,OWID_KOS,Europe,Kosovo,2021-01-15,55135.0,296.0,267.286,1399.0,7.0,4.428999999999999,28526.356,153.148,138.291,723.83,3.622,2.291,1.03,2615.0,43.25,26042.0,430.718,29.198,5.912999999999999,3948.68,65.309,1125679.0,7137.0,20.935,0.133,4992.0,0.09300000000000001,0.026000000000000002,39.1,samples tested,1282184.0,20996.0,41012.0,2.12,678.0,71.3,1932774.0,168.155,20.0,2.6860000000000004,1.528,9795.834,0.6,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
24,53851,SYR,Asia,Syria,2021-01-15,12850.0,90.0,95.85700000000001,817.0,8.0,7.7139999999999995,734.258,5.143,5.477,46.684,0.457,0.441,0.92,372.0,36.834,2844.0,281.605,172.761,17.105999999999998,1832.854,39.201,3616596.0,17979.0,417.88,2.077,15152.0,1.751,0.115,8.7,tests performed,110000.0,77364.0,7143.0,1.27,825.0,54.17,17500657.0,214.243,21.7,18.436,2.577,57410.166,0.5,376.264,5.59,22.6,28.9,70.598,1.5,72.7,0.536
25,51835,ESP,Europe,Spain,2021-01-15,2252164.0,40197.0,28829.142999999996,53314.0,235.0,205.71400000000003,48169.703,859.7410000000001,616.6030000000001,1140.29,5.026,4.4,1.4,2318.0,49.578,14951.0,319.775,94.631,2.024,1832.854,39.201,24815526.0,407.0,530.759,0.036000000000000004,184979.0,3.9560000000000004,0.14400000000000002,6.9,tests performed,768950.0,92764.0,70139.0,1.64,1500.0,71.3,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,43.993,2.97,83.56,0.8909999999999999
26,7204,BIH,Europe,Bosnia and Herzegovina,2021-01-15,117011.0,0.0,298.714,4411.0,0.0,18.0,35665.223,0.0,91.04899999999999,1344.483,0.0,5.486000000000001,1.01,371.0,32.010999999999996,1955.0,168.685,2838.847,244.947,909.5239999999999,78.477,514380.0,2440.0,156.784,0.7440000000000001,2494.0,0.76,0.154,6.5,tests performed,141758.0,15430.0,11419.0,1.22,985.0,42.59,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
27,24441,HUN,Europe,Hungary,2021-01-15,349149.0,1513.0,1629.4289999999999,11177.0,111.0,105.286,36142.479,156.62,168.672,1156.997,11.49,10.899000000000001,1.1,5300.0,63.258,4980.0,515.509,103.991,9.977,2324.214,27.741,2467260.0,19098.0,255.40099999999998,1.9769999999999999,17022.0,1.7619999999999998,0.096,10.4,tests performed,112847.0,7119.0,8688.0,1.17,899.0,72.22,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,84.169,7.02,76.88,0.838
28,49014,SLE,Africa,Sierra Leone,2021-01-15,2959.0,26.0,25.285999999999998,77.0,0.0,0.0,370.94199999999995,3.259,3.17,9.652999999999999,0.0,0.0,1.26,1065.0,55.36,3770.0,369.727,19.332,3.5660000000000003,5310.204000000001,276.031,2496125.0,10534.0,366.829,1.548,10283.0,1.511,0.165,6.1,people tested,13163.0,2187.0,1595.0,13.39,16219.0,37.04,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,3.6,54.7,0.419
29,60554,OWID_WRL,Asia,World,2021-01-15,93876206.0,765718.0,706979.571,2009092.0,15038.0,13596.143,12043.442,98.234,90.699,257.748,1.929,1.744,1.16,23891.0,72.178,128947.0,389.565,1273.0,3.846,33902.0,102.42200000000001,1469955.0,3009.0,15.100999999999999,0.031,2394.0,0.025,0.001,698.2,samples tested,38667720.0,1021093.0,913912.0,0.5,2761.0,56.48,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.6940000000000001
