Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-04-20,45.0,,,71.0,40.0,,62.0,321.0,5.0,29.0,14.0,33.0,44.0,4.0,0.0,42.0,6.0,19.0,,24.0,237.0,2.0,205.0,79.0,11.0,121.0,1490.0
2020-04-21,43.0,,,66.0,33.0,54.0,60.0,304.0,3.0,27.0,12.0,35.0,37.0,4.0,0.0,48.0,10.0,19.0,,24.0,236.0,2.0,192.0,76.0,9.0,110.0,1412.0
2020-04-22,37.0,,,67.0,33.0,49.0,57.0,288.0,3.0,26.0,12.0,,37.0,4.0,0.0,52.0,10.0,18.0,,23.0,213.0,3.0,180.0,77.0,6.0,110.0,1348.0
2020-04-23,35.0,,5.0,66.0,32.0,42.0,57.0,284.0,3.0,26.0,11.0,38.0,35.0,4.0,0.0,37.0,8.0,15.0,,21.0,215.0,4.0,180.0,73.0,6.0,96.0,1295.0
2020-04-24,40.0,,4.0,60.0,24.0,40.0,55.0,278.0,3.0,29.0,12.0,,36.0,3.0,0.0,43.0,4.0,15.0,,21.0,214.0,3.0,168.0,71.0,6.0,83.0,1252.0
2020-04-25,,,,61.0,23.0,,54.0,271.0,3.0,28.0,12.0,32.0,35.0,3.0,,,6.0,13.0,,23.0,198.0,3.0,173.0,74.0,6.0,77.0,1224.0
2020-04-26,,,,54.0,21.0,,54.0,271.0,3.0,28.0,12.0,26.0,32.0,3.0,,38.0,9.0,12.0,,21.0,192.0,3.0,181.0,76.0,6.0,75.0,1203.0
2020-04-27,42.0,,2.0,54.0,17.0,,55.0,270.0,3.0,29.0,10.0,32.0,28.0,2.0,0.0,39.0,12.0,13.0,,21.0,188.0,4.0,170.0,66.0,7.0,73.0,1179.0
2020-04-28,39.0,,4.0,47.0,15.0,28.0,49.0,277.0,3.0,27.0,10.0,29.0,26.0,2.0,1.0,44.0,10.0,13.0,,21.0,186.0,5.0,159.0,62.0,7.0,84.0,1150.0
2020-04-29,38.0,,2.0,44.0,12.0,26.0,48.0,254.0,3.0,23.0,9.0,31.0,26.0,2.0,2.0,44.0,12.0,12.0,,15.0,172.0,5.0,149.0,61.0,6.0,82.0,1080.0
2020-04-30,33.0,,2.0,39.0,9.0,24.0,46.0,252.0,2.0,21.0,8.0,31.0,25.0,1.0,0.0,37.0,8.0,12.0,,14.0,162.0,4.0,141.0,61.0,6.0,61.0,1001.0
2020-05-01,34.0,,6.0,40.0,8.0,,43.0,242.0,2.0,21.0,8.0,40.0,26.0,1.0,0.0,36.0,7.0,12.0,,14.0,142.0,3.0,132.0,59.0,4.0,43.0,949.0
2020-05-02,,,3.0,44.0,8.0,,38.0,235.0,2.0,19.0,8.0,40.0,26.0,1.0,,,7.0,11.0,,14.0,134.0,0.0,113.0,59.0,3.0,41.0,902.0
2020-05-03,,,3.0,41.0,10.0,,35.0,238.0,2.0,18.0,8.0,40.0,26.0,1.0,,,6.0,11.0,,14.0,132.0,0.0,114.0,59.0,3.0,42.0,899.0
2020-05-04,38.0,,6.0,35.0,9.0,,36.0,236.0,2.0,16.0,8.0,34.0,25.0,1.0,0.0,29.0,4.0,11.0,,14.0,129.0,2.0,114.0,54.0,3.0,43.0,875.0
2020-05-05,23.0,,6.0,38.0,8.0,21.0,35.0,234.0,2.0,18.0,8.0,37.0,21.0,1.0,0.0,,6.0,10.0,,16.0,117.0,2.0,105.0,49.0,4.0,54.0,846.0
2020-05-06,24.0,,8.0,34.0,6.0,21.0,34.0,231.0,2.0,,8.0,32.0,22.0,,,,5.0,11.0,,15.0,109.0,3.0,,49.0,3.0,53.0,825.0
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,825.0
