age_group,canton,cases,date,fatalities,sex
40 - 49,ZH,0,2020-02-24,0,2
50 - 59,AG,0,2020-02-24,0,2
50 - 59,AI,0,2020-02-24,0,2
50 - 59,AR,0,2020-02-24,0,2
50 - 59,BE,0,2020-02-24,0,2
50 - 59,BL,0,2020-02-24,0,2
50 - 59,BS,0,2020-02-24,0,2
50 - 59,FL,0,2020-02-24,0,2
50 - 59,FR,0,2020-02-24,0,2
50 - 59,GE,0,2020-02-24,0,2
50 - 59,GL,0,2020-02-24,0,2
50 - 59,GR,0,2020-02-24,0,2
50 - 59,JU,0,2020-02-24,0,2
50 - 59,LU,0,2020-02-24,0,2
50 - 59,NE,0,2020-02-24,0,2
50 - 59,NW,0,2020-02-24,0,2
50 - 59,OW,0,2020-02-24,0,2
50 - 59,SG,0,2020-02-24,0,2
50 - 59,SH,0,2020-02-24,0,2
50 - 59,SO,0,2020-02-24,0,2
50 - 59,SZ,0,2020-02-24,0,2
50 - 59,TG,0,2020-02-24,0,2
50 - 59,TI,0,2020-02-24,0,2
50 - 59,UR,0,2020-02-24,0,2
50 - 59,VD,0,2020-02-24,0,2
50 - 59,VS,0,2020-02-24,0,2
50 - 59,ZG,0,2020-02-24,0,2
50 - 59,ZH,0,2020-02-24,0,2
60 - 69,AG,0,2020-02-24,0,2
60 - 69,AI,0,2020-02-24,0,2
60 - 69,AR,0,2020-02-24,0,2
60 - 69,BE,0,2020-02-24,0,2
60 - 69,BL,0,2020-02-24,0,2
60 - 69,BS,0,2020-02-24,0,2
60 - 69,FL,0,2020-02-24,0,2
60 - 69,FR,0,2020-02-24,0,2
60 - 69,GE,0,2020-02-24,0,2
60 - 69,GL,0,2020-02-24,0,2
60 - 69,GR,0,2020-02-24,0,2
60 - 69,JU,0,2020-02-24,0,2
60 - 69,LU,0,2020-02-24,0,2
60 - 69,NE,0,2020-02-24,0,2
60 - 69,NW,0,2020-02-24,0,2
60 - 69,OW,0,2020-02-24,0,2
60 - 69,SG,0,2020-02-24,0,2
60 - 69,SH,0,2020-02-24,0,2
60 - 69,SO,0,2020-02-24,0,2
60 - 69,SZ,0,2020-02-24,0,2
60 - 69,TG,0,2020-02-24,0,2
60 - 69,TI,0,2020-02-24,0,2
60 - 69,UR,0,2020-02-24,0,2
60 - 69,VD,0,2020-02-24,0,2
60 - 69,VS,0,2020-02-24,0,2
60 - 69,ZG,0,2020-02-24,0,2
60 - 69,ZH,0,2020-02-24,0,2
70 - 79,AG,0,2020-02-24,0,2
70 - 79,AI,0,2020-02-24,0,2
70 - 79,AR,0,2020-02-24,0,2
70 - 79,BE,0,2020-02-24,0,2
70 - 79,BL,0,2020-02-24,0,2
